label,IPA,nasal,voice,continuant,sonorant,C_vs_V,coronal,labial,coronal
ɑː,__,NA,NA,1,1,0,NA,NA,NA
æ,�,NA,NA,1,1,0,NA,NA,NA
ʌ,_,NA,NA,1,1,0,NA,NA,NA
aʊ,a_,NA,NA,1,1,0,NA,NA,NA
aɪ,a_,NA,NA,1,1,0,NA,NA,NA
ɛ,_,NA,NA,1,1,0,NA,NA,NA
ɜː,__,NA,NA,1,1,0,NA,NA,NA
eɪ,e_,NA,NA,1,1,0,NA,NA,NA
ɪ,_,NA,NA,1,1,0,NA,NA,NA
iː,i_,NA,NA,1,1,0,NA,NA,NA
oʊ,o_,NA,NA,1,1,0,NA,NA,NA
oy,oy,NA,NA,1,1,0,NA,NA,NA
ʊ,_,NA,NA,1,1,0,NA,NA,NA
uː,u_,NA,NA,1,1,0,NA,NA,NA
ux,ux,NA,NA,1,1,0,NA,NA,NA
b,b,0,NA,0,0,1,0,1,0
d,d,0,1,0,0,1,0,0,1
ɡ,_,0,1,0,0,1,1,0,0
k,k,0,0,0,0,1,1,0,0
p,p,0,0,0,0,1,0,1,0
t,t,0,0,0,0,1,0,0,1
m,m,1,1,0,1,1,0,1,0
n,n,1,1,0,1,1,0,0,1
ŋ,_,1,1,0,1,1,1,0,0
tʃ,t_,0,0,0,NA,1,0,0,0
dʒ,d_,0,1,0,NA,1,0,0,0
ð,_,0,1,1,0,1,0,0,0
dx,dx,0,1,1,0,1,0,0,0
f,f,0,0,1,0,1,0,1,0
h,h,0,0,1,0,1,0,0,0
s,s,0,0,1,0,1,0,0,1
ʃ,_,0,0,1,0,1,0,1,0
v,v,0,1,1,0,1,0,0,0
j,j,NA,1,1,0,1,0,0,0
z,z,0,1,1,0,1,0,0,1
ʒ,_,0,1,1,0,1,0,0,0
l,l,0,1,1,1,1,0,0,0
ɹ,_,0,1,1,1,1,0,0,0
θ,_,0,0,1,1,1,0,0,0
w,w,NA,1,1,1,1,0,0,0
sil,sil,NA,NA,NA,NA,NA,0,0,0
